filepath,filename,size_bytes,status,error
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_193742.jpg,2026-03-07_193742.jpg,2177475,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_193744.jpg,2026-03-07_193744.jpg,2431835,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_193744_B.jpg,2026-03-07_193744_B.jpg,2766509,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_193924.jpg,2026-03-07_193924.jpg,1849315,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_193949.jpg,2026-03-07_193949.jpg,1961996,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_054650.jpg,2026-03-08_054650.jpg,10092308,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_054921.jpg,2026-03-08_054921.jpg,6918710,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_055102.jpg,2026-03-08_055102.jpg,6592927,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_055147.jpg,2026-03-08_055147.jpg,4543924,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_055543.jpg,2026-03-08_055543.jpg,5509823,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_055558.jpg,2026-03-08_055558.jpg,7245781,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_103658.jpg,2026-03-08_103658.jpg,2288350,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_103659.jpg,2026-03-08_103659.jpg,2152423,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_103701.jpg,2026-03-08_103701.jpg,1932647,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_103710.jpg,2026-03-08_103710.jpg,4966598,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_111419.jpg,2026-03-08_111419.jpg,5129919,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_111420.jpg,2026-03-08_111420.jpg,5220370,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_134700.jpg,2026-03-08_134700.jpg,11346378,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_134732.jpg,2026-03-08_134732.jpg,12611429,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_134752.jpg,2026-03-08_134752.jpg,15878592,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_134758.jpg,2026-03-08_134758.jpg,13391202,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_134843.jpg,2026-03-08_134843.jpg,14800363,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135027.jpg,2026-03-08_135027.jpg,13990467,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135039.jpg,2026-03-08_135039.jpg,12509185,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135046.jpg,2026-03-08_135046.jpg,14556015,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135059.jpg,2026-03-08_135059.jpg,13529217,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135129.jpg,2026-03-08_135129.jpg,15513599,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135136.jpg,2026-03-08_135136.jpg,6222414,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135156.jpg,2026-03-08_135156.jpg,4718847,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135156_B.jpg,2026-03-08_135156_B.jpg,4840329,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135158.jpg,2026-03-08_135158.jpg,5005521,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135225.jpg,2026-03-08_135225.jpg,10438889,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-08_135232.jpg,2026-03-08_135232.jpg,12502791,subido,
